hotel_class,name,id,locality,region
2.8850684495383634,Marina Motel,82116,San Francisco,CA
3.0,Beresford Arms,80808,San Francisco,CA
4.0,Hilton San Francisco Financial District,81038,San Francisco,CA
3.5,Hotel Union Square,81520,San Francisco,CA
2.0,The Stratford,80774,San Francisco,CA
4.0,CLIFT San Francisco,112328,San Francisco,CA
2.0,Castle Inn,119658,San Francisco,CA
3.0,The Queen Anne Hotel,112360,San Francisco,CA
3.0,BEST WESTERN The Hotel California,81363,San Francisco,CA
3.0,Holiday Inn San Francisco Golden Gateway,81049,San Francisco,CA
2.0,Comfort Inn by the Bay,80930,San Francisco,CA
2.8850684495383634,Royal Pacific Motor Inn,627267,San Francisco,CA
2.5,The Opal San Francisco,81251,San Francisco,CA
2.0,Super 8 San Francisco / Fisherman's Wharf,80757,San Francisco,CA
3.5,Hotel Whitcomb,81241,San Francisco,CA
2.0,Travelodge Golden Gate San Francisco,81503,San Francisco,CA
2.0,Halcyon Hotel,112335,San Francisco,CA
3.0,Hotel Majestic,81416,San Francisco,CA
3.0,Powell Hotel,81212,San Francisco,CA
2.8850684495383634,Carl Hotel,291220,San Francisco,CA
2.5,Fitzgerald Hotel Union Square,80768,San Francisco,CA
2.8850684495383634,The Archbishop's Mansion,112321,San Francisco,CA
3.0,Vantaggio Suites Cosmo,80817,San Francisco,CA
2.8850684495383634,Aldrich Hotel,1015196,San Francisco,CA
2.0,Americas Best Value Inn & Suites Union Square,320147,,
2.8850684495383634,Biltmore Hotel,119663,San Francisco,CA
2.8850684495383634,Twin Peaks Hotel,603022,San Francisco,CA
2.8850684495383634,Alpha Inn and Suites San Francisco,80978,San Francisco,CA
2.8850684495383634,Pontiac Hotel,626656,San Francisco,CA
1.5,Mithila,240893,San Francisco,CA
2.0,Oasis Inn,81524,San Francisco,CA
2.0,Aida Hotel,291689,San Francisco,CA
2.8850684495383634,Ram's Hotel,658566,San Francisco,CA
2.8850684495383634,Sonoma Inn,81379,San Francisco,CA
2.0,Greenwich Inn,81480,San Francisco,CA
2.8850684495383634,Pensione International,119636,San Francisco,CA
2.8850684495383634,Vantaggio Suites Jefferson Square,674036,San Francisco,CA
2.8850684495383634,Synergy St Francis Place,571428,San Francisco,CA
2.8850684495383634,Suiteamerica Avalon Mission Bay,1201115,San Francisco,CA
2.8850684495383634,Oakwood Downtown Financial District,268241,San Francisco,CA
2.8850684495383634,Oakwood At The Aurora,224960,San Francisco,CA
2.8850684495383634,Oakwood at Soma Residences,595097,San Francisco,CA
2.8850684495383634,Oakwood at 900 Powell,275488,San Francisco,CA
2.8850684495383634,Nob Hill Lambourne,1160927,San Francisco,CA
2.8850684495383634,Glenwood Hotel,291332,San Francisco,CA
2.8850684495383634,Amazon Motel,1641819,San Francisco,CA
2.8850684495383634,Hotel Milano,112304,San Francisco,CA
2.8850684495383634,Lombard Plaza Motel,1840699,San Francisco,CA
1.5,Knights Inn - Downtown San Francisco,81246,San Francisco,CA
2.0,Civic Center Inn,81487,San Francisco,CA
2.8850684495383634,Hotel Tropica,282764,San Francisco,CA
2.8850684495383634,Verona,81526,San Francisco,CA
2.8850684495383634,Harcourt Hotel,565629,San Francisco,CA
2.0,"Americas Best Value Inn, San Francisco",113924,San Francisco,CA
2.0,Beach Motel,549444,San Francisco,CA
2.8850684495383634,America's Best Inn San Francisco,252811,San Francisco,CA
2.8850684495383634,Roberts At The Beach Motel,119632,San Francisco,CA
2.8850684495383634,Taylor Hotel,278862,San Francisco,CA
2.5,The Embassy Hotel,80766,San Francisco,CA
2.0,Ramada Limited - San Francisco,82105,San Francisco,CA
2.0,Travelodge San Francisco - Fishermans Wharf,944406,San Francisco,CA
2.8850684495383634,Best Hotel,3165345,San Francisco,CA
2.8850684495383634,Foleys Inn,80760,,
2.8850684495383634,Sheehan Hotel,1160908,San Francisco,CA
2.0,Travelodge Central,1223830,San Francisco,CA
2.5,Commodore Hotel,1160921,San Francisco,CA
2.0,Rodeway Inn Civic Center,81256,San Francisco,CA
2.8850684495383634,Layne Hotel,224957,San Francisco,CA
